"HGNC" "ENST"
"CDC20-001" "ENST00000310955.6"
"CDC23-001" "ENST00000394886.2"
"CDC25A-001" "ENST00000302506.3"
"CDC25B-005" "ENST00000245960.5"
"CDC25C-001" "ENST00000323760.6"
"CDC26-002" "ENST00000374206.3"
"CDC27-002" "ENST00000531206.1"
"CDC34-001" "ENST00000215574.3"
"CDC37-001" "ENST00000222005.2"
"CDC37L1-001" "ENST00000381854.3"
"CDC40-005" "ENST00000368932.1"
"CDC42-001" "ENST00000344548.3"
"CDC42BPA-001" "ENST00000366769.3"
"CDC42BPB-001" "ENST00000361246.2"
"CDC42EP3-001" "ENST00000295324.3"
"CDC42EP4-001" "ENST00000335793.3"
"CDC42SE1-001" "ENST00000357235.4"
"CDC42SE2-005" "ENST00000505065.1"
"CDC45-201" "ENST00000263201.1"
"CDC5L-001" "ENST00000371477.3"
"CDC6-001" "ENST00000209728.4"
"CDC7-001" "ENST00000234626.6"
"CDC73-001" "ENST00000367435.3"
"CDCA2-001" "ENST00000330560.3"
"CDCA3-004" "ENST00000535406.1"
"CDCA4-002" "ENST00000392590.3"
"CDCA5-001" "ENST00000275517.3"
"CDCA7-001" "ENST00000306721.3"
"CDCA7L-001" "ENST00000406877.3"
"CDCA8-001" "ENST00000373055.1"
"CDCP1-001" "ENST00000296129.1"
"CDH1-001" "ENST00000261769.4"
"CDIP1-005" "ENST00000399599.3"
"CDIPT-004" "ENST00000570016.1"
"CDK1-009" "ENST00000448257.2"
"CDK10-001" "ENST00000353379.7"
"CDK11A-005" "ENST00000378633.1"
"CDK12-001" "ENST00000447079.3"
"CDK13-001" "ENST00000181839.4"
"CDK14-001" "ENST00000380050.3"
"CDK16-007" "ENST00000518022.1"
"CDK17-001" "ENST00000261211.3"
"CDK19-001" "ENST00000368911.3"
"CDK2-001" "ENST00000266970.4"
"CDK2AP1-001" "ENST00000261692.2"
"CDK2AP2-001" "ENST00000301488.3"
"CDK4-001" "ENST00000257904.5"
"CDK5-001" "ENST00000485972.1"
"CDK5R1-001" "ENST00000313401.3"
"CDK5RAP1-010" "ENST00000346416.2"
"CDK5RAP2-005" "ENST00000349780.4"
"CDK5RAP3-001" "ENST00000338399.4"
"CDK6-002" "ENST00000424848.2"
"CDK7-001" "ENST00000256443.3"
"CDK8-001" "ENST00000381527.3"
"CDK9-001" "ENST00000373264.4"
"CDKAL1-001" "ENST00000378610.1"
"CDKL1-001" "ENST00000395834.1"
"CDKL5-002" "ENST00000379996.3"
"CDKN1A-201" "ENST00000405375.1"
"CDKN1B-001" "ENST00000228872.4"
"CDKN2A-009" "ENST00000498124.1"
"CDKN2AIP-001" "ENST00000504169.1"
"CDKN2AIPNL-001" "ENST00000458198.2"
"CDKN2C-001" "ENST00000262662.1"
"CDKN2D-001" "ENST00000393599.2"
"CDKN3-001" "ENST00000335183.6"
"CDPF1-001" "ENST00000314567.3"
"CDR2-001" "ENST00000268383.2"
"CDS2-004" "ENST00000460006.1"
"CDT1-001" "ENST00000301019.4"
"CDV3-001" "ENST00000264993.3"
"CDYL-001" "ENST00000328908.5"
"CDYL2-002" "ENST00000563890.1"
"CEACAM1-001" "ENST00000161559.6"
"CEBPB-001" "ENST00000303004.3"
"CEBPG-001" "ENST00000284000.3"
"CEBPZ-001" "ENST00000234170.5"
"CECR1-003" "ENST00000262607.3"
"CECR5-002" "ENST00000336737.4"
"CELF1-024" "ENST00000358597.3"
"CELF2-205" "ENST00000427450.1"
"CENPA-001" "ENST00000335756.4"
"CENPB-001" "ENST00000379751.4"
"CENPBD1-002" "ENST00000314994.3"
"CENPC1-001" "ENST00000273853.6"
"CENPE-201" "ENST00000265148.3"
"CENPF-001" "ENST00000366955.3"
"CENPH-001" "ENST00000283006.2"
"CENPI-004" "ENST00000372927.1"
"CENPJ-001" "ENST00000381884.4"
"CENPK-001" "ENST00000396679.1"
"CENPL-003" "ENST00000345664.6"
"CENPM-001" "ENST00000215980.5"
"CENPN-001" "ENST00000305850.5"
"CENPO-001" "ENST00000380834.2"
"CENPP-003" "ENST00000375587.3"
"CENPQ-201" "ENST00000335783.2"
"CENPT-201" "ENST00000219172.3"
"CENPV-001" "ENST00000299736.4"
"CENPW-001" "ENST00000368328.4"
"CEP104-001" "ENST00000378230.3"
"CEP120-202" "ENST00000328236.5"
"CEP128-001" "ENST00000555265.1"
"CEP135-001" "ENST00000257287.3"
"CEP152-001" "ENST00000380950.2"
"CEP164-001" "ENST00000278935.3"
"CEP170-003" "ENST00000366542.1"
"CEP192-001" "ENST00000506447.1"
"CEP250-001" "ENST00000397527.1"
"CEP290-201" "ENST00000309041.7"
"CEP350-001" "ENST00000367607.3"
"CEP41-001" "ENST00000223208.4"
"CEP44-001" "ENST00000503780.1"
"CEP55-001" "ENST00000371485.3"
"CEP57-001" "ENST00000325542.5"
"CEP57L1-005" "ENST00000368970.2"
"CEP63-201" "ENST00000337090.3"
"CEP68-001" "ENST00000377990.2"
"CEP70-004" "ENST00000484888.1"
"CEP72-001" "ENST00000264935.5"
"CEP76-001" "ENST00000262127.2"
"CEP78-008" "ENST00000376597.4"
"CEP85-002" "ENST00000252992.4"
"CEP85L-201" "ENST00000368488.5"
"CEP89-001" "ENST00000305768.4"
"CEP95-001" "ENST00000556440.2"
"CEP97-001" "ENST00000341893.3"
"CEPT1-201" "ENST00000545121.1"
"CERCAM-002" "ENST00000372838.4"
"CERK-001" "ENST00000216264.8"
"CERS2-201" "ENST00000271688.6"
"CERS4-001" "ENST00000251363.5"
"CERS5-001" "ENST00000317551.6"
"CERS6-001" "ENST00000305747.6"
"CES2-001" "ENST00000317091.4"
"CETN2-001" "ENST00000370277.3"
"CETN3-001" "ENST00000283122.3"
"CFDP1-001" "ENST00000283882.3"
"CFL1-201" "ENST00000308162.5"
"CFL2-001" "ENST00000298159.6"
"CFLAR-001" "ENST00000309955.2"
"CFP-001" "ENST00000396992.3"
"CGGBP1-004" "ENST00000462901.1"
"CGN-001" "ENST00000271636.7"
"CGRRF1-001" "ENST00000216420.7"
"CHAC1-001" "ENST00000446533.3"
"CHAC2-001" "ENST00000295304.4"
"CHAF1A-001" "ENST00000301280.5"
"CHAF1B-001" "ENST00000314103.4"
"CHAMP1-001" "ENST00000361283.1"
"CHCHD1-001" "ENST00000372833.5"
"CHCHD10-002" "ENST00000401675.3"
"CHCHD2-001" "ENST00000395422.3"
"CHCHD3-004" "ENST00000423635.1"
"CHCHD4-001" "ENST00000396914.3"
"CHCHD5-001" "ENST00000324913.5"
"CHCHD6-001" "ENST00000290913.3"
"CHCHD7-002" "ENST00000355315.3"
"CHD1-001" "ENST00000284049.3"
"CHD1L-001" "ENST00000369258.4"
"CHD2-001" "ENST00000394196.4"
"CHD3-003" "ENST00000380358.4"
"CHD4-201" "ENST00000309577.6"
"CHD6-001" "ENST00000373233.3"
"CHD7-201" "ENST00000423902.1"
"CHD8-002" "ENST00000557364.1"
"CHD9-020" "ENST00000398510.3"
"CHDH-001" "ENST00000315251.5"
"CHEK1-007" "ENST00000524737.1"
"CHEK2-005" "ENST00000405598.1"
"CHERP-001" "ENST00000546361.2"
"CHFR-002" "ENST00000432561.2"
"CHI3L2-201" "ENST00000369748.4"
"CHIC1-001" "ENST00000373502.5"
"CHIC2-001" "ENST00000263921.3"
"CHID1-004" "ENST00000436108.2"
"CHKA-001" "ENST00000265689.4"
"CHKB-001" "ENST00000406938.2"
"CHL1-001" "ENST00000256509.2"
"CHM-001" "ENST00000357749.2"
"CHML-001" "ENST00000366553.1"
"CHMP1A-001" "ENST00000397901.3"
"CHMP1B-001" "ENST00000526991.2"
"CHMP2A-001" "ENST00000312547.2"
"CHMP2B-001" "ENST00000263780.4"
"CHMP3-001" "ENST00000263856.4"
"CHMP4A-001" "ENST00000347519.6"
"CHMP4B-001" "ENST00000217402.2"
"CHMP5-001" "ENST00000223500.7"
"CHMP6-001" "ENST00000325167.5"
"CHMP7-201" "ENST00000313219.7"
"CHORDC1-001" "ENST00000320585.6"
"CHP1-001" "ENST00000334660.5"
"CHPF-001" "ENST00000243776.6"
"CHPF2-001" "ENST00000035307.2"
"CHPT1-001" "ENST00000229266.3"
"CHRAC1-001" "ENST00000220913.5"
"CHRNA5-001" "ENST00000299565.5"
"CHRNA6-001" "ENST00000276410.2"
"CHRNB1-001" "ENST00000306071.2"
"CHST10-002" "ENST00000409701.1"
"CHST11-002" "ENST00000549260.1"
"CHST12-002" "ENST00000258711.6"
"CHST14-001" "ENST00000306243.5"
"CHST7-001" "ENST00000276055.3"
"CHSY1-001" "ENST00000254190.3"
"CHTF18-001" "ENST00000262315.9"
"CHTF8-002" "ENST00000398235.2"
"CHTF8.1-001" "ENST00000574807.1"
"CHTOP-001" "ENST00000368694.3"
"CHUK-001" "ENST00000370397.7"
"CHURC1-201" "ENST00000359118.2"
"CIAO1-001" "ENST00000488633.1"
"CIAPIN1-001" "ENST00000394391.4"
"CIB1-001" "ENST00000328649.6"
"CIC-002" "ENST00000572681.1"
"CIITA-001" "ENST00000324288.8"
"CINP-003" "ENST00000559504.1"
"CIR1-001" "ENST00000342016.3"
"CIRBP-001" "ENST00000320936.5"
"CIRH1A-001" "ENST00000314423.7"
"CISD1-001" "ENST00000333926.5"
"CISD2-001" "ENST00000273986.4"
"CIT-005" "ENST00000392521.2"
"CITED2-001" "ENST00000367651.2"
"CIZ1-204" "ENST00000538431.1"
"CKAP2-003" "ENST00000378037.4"
"CKAP2L-001" "ENST00000302450.6"
"CKAP4-001" "ENST00000378026.4"
"CKAP5-202" "ENST00000415402.1"
"CKB-001" "ENST00000348956.2"
"CKLF-001" "ENST00000264001.4"
"CKS1B-001" "ENST00000308987.5"
"CKS2-001" "ENST00000314355.6"
"CLASP1-201" "ENST00000263710.4"
"CLASP2-202" "ENST00000359576.5"
"CLASRP-001" "ENST00000221455.3"
"CLCC1-001" "ENST00000356970.2"
"CLCN3-002" "ENST00000347613.4"
"CLCN5-004" "ENST00000376108.3"
"CLCN6-001" "ENST00000346436.6"
"CLCN7-001" "ENST00000382745.4"
"CLDN12-002" "ENST00000394605.1"
"CLDND1-025" "ENST00000513452.1"
"CLEC16A-001" "ENST00000409790.1"
"CLEC17A-002" "ENST00000417570.1"
"CLEC2B-001" "ENST00000228438.2"
"CLEC2D-005" "ENST00000261340.7"
"CLECL1-002" "ENST00000327839.3"
"CLIC1-004" "ENST00000375779.2"
"CLIC2-001" "ENST00000369449.2"
"CLIC4-002" "ENST00000488683.1"
"CLIC6-001" "ENST00000360731.3"
"CLINT1-001" "ENST00000411809.2"
"CLIP1-001" "ENST00000302528.7"
"CLIP2-002" "ENST00000395060.1"
"CLIP3-001" "ENST00000360535.4"
"CLIP4-005" "ENST00000404424.1"
"CLK1-001" "ENST00000321356.4"
"CLK2-201" "ENST00000536801.1"
"CLK3-001" "ENST00000345005.4"
"CLK4-001" "ENST00000316308.4"
"CLMN-001" "ENST00000298912.3"
"CLN3-205" "ENST00000360019.2"
"CLN6-001" "ENST00000249806.5"
"CLN8-001" "ENST00000331222.4"
"CLNK-001" "ENST00000226951.6"
"CLNS1A-006" "ENST00000528364.1"
"CLOCK-002" "ENST00000381322.1"
"CLP1-002" "ENST00000525602.1"
"CLPB-003" "ENST00000538039.1"
"CLPP-001" "ENST00000245816.4"
"CLPTM1-001" "ENST00000337392.5"
"CLPTM1L-001" "ENST00000320895.5"
"CLPX-001" "ENST00000300107.3"
"CLSPN-005" "ENST00000318121.3"
"CLSTN1-001" "ENST00000377298.4"
"CLSTN3-001" "ENST00000266546.6"
"CLTA-201" "ENST00000433436.2"
"CLTB-002" "ENST00000345807.2"
"CLTC-001" "ENST00000269122.3"
"CLUAP1-001" "ENST00000576634.1"
"CLYBL-001" "ENST00000376360.1"
"CMAHP-202" "ENST00000436589.2"
"CMAS-001" "ENST00000229329.2"
"CMBL-001" "ENST00000296658.3"
"CMC1-002" "ENST00000466830.1"
"CMC2-017" "ENST00000564249.1"
"CMC4-003" "ENST00000369479.1"
"CMIP-001" "ENST00000537098.2"
"CMKLR1-001" "ENST00000312143.7"
"CMPK1-001" "ENST00000371873.5"
"CMPK2-002" "ENST00000256722.5"
"CMSS1-001" "ENST00000421999.2"
"CMTM3-008" "ENST00000562707.1"
"CMTM6-001" "ENST00000205636.3"
"CNBP-011" "ENST00000446936.2"
"CNDP2-001" "ENST00000324262.4"
"CNEP1R1-201" "ENST00000427478.2"
"CNIH-001" "ENST00000216416.4"
"CNIH4-001" "ENST00000465271.1"
"CNKSR2-003" "ENST00000379510.3"
"CNKSR3-001" "ENST00000367213.2"
"CNN2-001" "ENST00000263097.3"
"CNN3-202" "ENST00000538964.1"
"CNNM2-001" "ENST00000457502.1"
"CNNM3-001" "ENST00000305510.3"
"CNNM4-001" "ENST00000377075.2"
"CNOT1-001" "ENST00000317147.5"
"CNOT10-001" "ENST00000328834.5"
"CNOT2-001" "ENST00000418359.3"
"CNOT3-001" "ENST00000221232.5"
"CNOT4-203" "ENST00000541284.1"
"CNOT6-201" "ENST00000261951.4"
"CNOT6L-201" "ENST00000264903.4"
"CNOT7-001" "ENST00000361272.4"
"CNOT8-010" "ENST00000403027.2"
"CNP-001" "ENST00000393892.2"
"CNPPD1-003" "ENST00000409789.1"
"CNPY2-001" "ENST00000273308.4"
"CNPY3-001" "ENST00000372836.4"
"CNPY4-001" "ENST00000262932.3"
"CNR1-002" "ENST00000549890.1"
"CNR2-001" "ENST00000374472.4"
"CNST-001" "ENST00000366513.4"
"CNTLN-202" "ENST00000425824.1"
"CNTNAP1-001" "ENST00000264638.4"
"CNTRL-010" "ENST00000373855.1"
"CNTROB-003" "ENST00000565740.1"
"COA1-004" "ENST00000395879.1"
"COA3-001" "ENST00000328434.7"
"COA4-004" "ENST00000537289.1"
"COA5-001" "ENST00000328709.3"
"COA6-003" "ENST00000366612.1"
"COASY-201" "ENST00000420359.1"
"COBRA1-001" "ENST00000343053.4"
"COCH-005" "ENST00000396618.3"
"COG1-001" "ENST00000299886.4"
"COG2-001" "ENST00000366669.4"
"COG3-001" "ENST00000349995.5"
"COG4-001" "ENST00000323786.5"
"COG5-003" "ENST00000297135.3"
"COG6-002" "ENST00000455146.2"
"COG7-001" "ENST00000307149.5"
"COG8-001" "ENST00000306875.4"
"COIL-001" "ENST00000240316.4"
"COL19A1-001" "ENST00000322773.4"
"COL24A1-001" "ENST00000370571.2"
"COL4A3BP-002" "ENST00000405807.3"
"COL4A4-001" "ENST00000396625.3"
"COL5A1-001" "ENST00000371817.3"
"COL9A2-001" "ENST00000372748.3"
"COMMD1-001" "ENST00000311832.5"
"COMMD10-001" "ENST00000274458.4"
"COMMD2-001" "ENST00000473414.1"
"COMMD3-001" "ENST00000376836.3"
"COMMD4-002" "ENST00000480484.1"
"COMMD5-004" "ENST00000305103.3"
"COMMD6-001" "ENST00000377615.3"
"COMMD7-001" "ENST00000278980.6"
"COMMD8-001" "ENST00000381571.4"
"COMMD9-001" "ENST00000263401.5"
"COMT-011" "ENST00000361682.6"
"COMTD1-001" "ENST00000372538.3"
"COPA-002" "ENST00000241704.7"
"COPB1-001" "ENST00000249923.3"
"COPB2-001" "ENST00000333188.4"
"COPE-001" "ENST00000262812.4"
"COPG1-001" "ENST00000314797.6"
"COPG2-201" "ENST00000445977.2"
"COPS2-001" "ENST00000388901.5"
"COPS3-001" "ENST00000268717.5"
"COPS4-001" "ENST00000264389.2"
"COPS5-001" "ENST00000357849.4"
"COPS6-001" "ENST00000303904.3"
"COPS7A-017" "ENST00000442593.2"
"COPS7B-015" "ENST00000410024.1"
"COPS8-001" "ENST00000354371.2"
"COPZ1-001" "ENST00000262061.2"
"COQ10A-001" "ENST00000308197.5"
"COQ10B-001" "ENST00000263960.2"
"COQ2-001" "ENST00000311469.4"
"COQ3-001" "ENST00000254759.3"
"COQ4-001" "ENST00000300452.3"
"COQ5-001" "ENST00000288532.6"
"COQ6-001" "ENST00000334571.2"
"COQ7-010" "ENST00000568985.1"
"COQ9-001" "ENST00000262507.6"
"CORO1A-002" "ENST00000570045.1"
"CORO1B-201" "ENST00000393893.1"
"CORO1C-001" "ENST00000261401.3"
"CORO7-001" "ENST00000251166.4"
"COTL1-001" "ENST00000262428.4"
"COX10-001" "ENST00000261643.3"
"COX11-003" "ENST00000576370.1"
"COX14-004" "ENST00000550654.1"
"COX15-001" "ENST00000016171.5"
"COX16-001" "ENST00000389912.5"
"COX17-006" "ENST00000497116.1"
"COX18-006" "ENST00000507544.2"
"COX19-001" "ENST00000344111.3"
"COX20-001" "ENST00000411948.2"
"COX4I1-001" "ENST00000253452.2"
"COX5A-004" "ENST00000564811.1"
"COX5B-001" "ENST00000258424.2"
"COX6A1-001" "ENST00000229379.2"
"COX6B1-003" "ENST00000246554.3"
"COX6C-004" "ENST00000523016.1"
"COX7A2-201" "ENST00000230459.4"
"COX7A2L-001" "ENST00000378669.1"
"COX7B-001" "ENST00000481445.1"
"COX7C-002" "ENST00000509578.1"
"COX8A-001" "ENST00000314133.3"
"CPD-001" "ENST00000225719.4"
"CPEB2-202" "ENST00000538197.1"
"CPEB4-001" "ENST00000265085.5"
"CPNE1-201" "ENST00000317619.3"
"CPNE2-001" "ENST00000290776.8"
"CPNE3-001" "ENST00000521271.1"
"CPNE5-001" "ENST00000244751.2"
"CPNE7-001" "ENST00000319518.8"
"CPNE8-001" "ENST00000331366.5"
"CPOX-001" "ENST00000264193.2"
"CPPED1-001" "ENST00000381774.4"
"CPSF1-001" "ENST00000349769.3"
"CPSF2-001" "ENST00000298875.4"
"CPSF3-001" "ENST00000238112.3"
"CPSF3L-001" "ENST00000435064.1"
"CPSF4-003" "ENST00000292476.5"
"CPSF6-004" "ENST00000266679.8"
"CPSF7-007" "ENST00000448745.1"
"CPT1A-002" "ENST00000539743.1"
"CPT2-001" "ENST00000371486.3"
"CPXM1-001" "ENST00000380605.2"
"CR1-012" "ENST00000367049.4"
"CR2-003" "ENST00000367057.3"
"CRADD-002" "ENST00000542893.2"
"CRAMP1L-202" "ENST00000293925.5"
"CRAT-006" "ENST00000318080.2"
"CRBN-001" "ENST00000231948.4"
"CRCP-001" "ENST00000395326.3"
"CREB1-002" "ENST00000353267.3"
"CREB3-001" "ENST00000353704.2"
"CREB3L1-001" "ENST00000529193.1"
"CREB3L2-001" "ENST00000330387.6"
"CREB3L4-001" "ENST00000271889.4"
"CREBBP-001" "ENST00000262367.5"
"CREBZF-003" "ENST00000525639.1"
"CREG1-001" "ENST00000370509.4"
"CRELD1-002" "ENST00000397170.3"
"CRELD2-002" "ENST00000404488.3"
"CREM-024" "ENST00000374722.1"
"CRIM1-001" "ENST00000280527.2"
"CRIPT-001" "ENST00000238892.3"
"CRK-001" "ENST00000300574.2"
"CRKL-002" "ENST00000411769.1"
"CRLF3-001" "ENST00000324238.6"
"CRLS1-001" "ENST00000378863.4"
"CRNKL1-007" "ENST00000536226.1"
"CROCC-001" "ENST00000375541.4"
"CROT-001" "ENST00000331536.3"
"CRTAP-001" "ENST00000320954.5"
"CRTC1-002" "ENST00000321949.8"
"CRTC2-001" "ENST00000368633.1"
"CRTC3-001" "ENST00000268184.6"
"CRY1-001" "ENST00000008527.5"
"CRY2-001" "ENST00000443527.2"
"CRYBG3-001" "ENST00000182096.4"
"CRYBG3.1-201" "ENST00000419587.1"
"CRYL1-001" "ENST00000298248.7"
"CRYM-203" "ENST00000543948.1"
"CRYZ-001" "ENST00000340866.5"
"CRYZL1-001" "ENST00000381554.3"
"CS-001" "ENST00000351328.3"
"CSDA-001" "ENST00000228251.4"
"CSDE1-008" "ENST00000438362.2"
"CSE1L-001" "ENST00000262982.2"
"CSF1-002" "ENST00000369802.3"
"CSF2RB-001" "ENST00000403662.3"
"CSGALNACT2-001" "ENST00000374466.3"
"CSK-201" "ENST00000309470.9"
"CSNK1A1-001" "ENST00000261798.5"
"CSNK1D-001" "ENST00000314028.6"
"CSNK1E-201" "ENST00000396832.1"
"CSNK1G1-001" "ENST00000303052.7"
"CSNK1G2-001" "ENST00000255641.8"
"CSNK1G3-203" "ENST00000395412.1"
"CSNK2A1-002" "ENST00000217244.3"
"CSNK2A2-001" "ENST00000262506.3"
"CSNK2B-008" "ENST00000375865.2"
"CSRNP1-001" "ENST00000273153.5"
"CSRNP2-001" "ENST00000228515.1"
"CSRP1-004" "ENST00000532460.1"
"CSRP2BP-001" "ENST00000278816.2"
"CST3-003" "ENST00000398409.1"
"CSTB-001" "ENST00000291568.5"
"CSTF1-001" "ENST00000217109.4"
"CSTF2-001" "ENST00000372972.2"
"CSTF2T-001" "ENST00000331173.4"
"CSTF3-001" "ENST00000323959.4"
"CTB-133G6.1-001" "ENST00000576789.1"
"CTBP1-001" "ENST00000290921.6"
"CTBS-001" "ENST00000370630.4"
"CTC-534A2.2-001" "ENST00000510585.2"
"CTC1-001" "ENST00000315684.8"
"CTCF-001" "ENST00000264010.4"
"CTDNEP1-004" "ENST00000574205.1"
"CTDP1-001" "ENST00000299543.7"
"CTDSP1-001" "ENST00000273062.2"
"CTDSP2-001" "ENST00000398073.2"
"CTDSPL2-001" "ENST00000260327.4"
"CTH-001" "ENST00000370938.3"
"CTIF-003" "ENST00000382998.4"
"CTNNA1-001" "ENST00000302763.7"
"CTNNAL1-001" "ENST00000325551.4"
"CTNNB1-003" "ENST00000396183.3"
"CTNNBIP1-201" "ENST00000537447.1"
"CTNNBL1-001" "ENST00000361383.6"
"CTNND1-006" "ENST00000399050.4"
"CTNS-001" "ENST00000046640.3"
"CTPS1-001" "ENST00000372621.4"
"CTPS2-001" "ENST00000380241.3"
"CTR9-001" "ENST00000361367.2"
"CTSA-001" "ENST00000372484.3"
"CTSB-005" "ENST00000534510.1"
"CTSC-001" "ENST00000227266.4"
"CTSD-001" "ENST00000236671.2"
"CTSH-001" "ENST00000220166.5"
"CTSO-001" "ENST00000433477.3"
"CTSS-001" "ENST00000368985.3"
"CTSZ-001" "ENST00000217131.5"
"CTTN-002" "ENST00000301843.8"
"CTTNBP2NL-001" "ENST00000271277.6"
"CTU1-001" "ENST00000421832.2"
"CTU2-001" "ENST00000453996.2"
"CUEDC2-001" "ENST00000369937.4"
"CUL1-001" "ENST00000409469.1"
"CUL2-006" "ENST00000374749.3"
"CUL3-001" "ENST00000264414.4"
"CUL4A-002" "ENST00000375440.4"
"CUL4B-001" "ENST00000404115.3"
"CUL5-001" "ENST00000393094.2"
"CUL7-001" "ENST00000265348.3"
"CUL9-001" "ENST00000252050.4"
"CUTA-008" "ENST00000488034.1"
"CUTC-001" "ENST00000370476.5"
"CUX1-005" "ENST00000360264.3"
"CWC22-001" "ENST00000410053.3"
"CWC25-001" "ENST00000225428.4"
"CWC27-001" "ENST00000381070.2"
"CWF19L1-201" "ENST00000354105.4"
"CWF19L2-001" "ENST00000282251.5"
"CXCL10-001" "ENST00000306602.1"
"CXCR3-002" "ENST00000373693.3"
"CXCR4-003" "ENST00000409817.1"
"CXCR7-001" "ENST00000272928.3"
"CXorf21-001" "ENST00000378962.3"
"CXorf23-001" "ENST00000379687.3"
"CXorf26-001" "ENST00000373358.3"
"CXorf38-003" "ENST00000327877.5"
"CXorf40B-006" "ENST00000370404.1"
"CXorf56-201" "ENST00000371594.4"
"CXorf57-002" "ENST00000372548.4"
"CXXC1-002" "ENST00000412036.2"
"CXXC4-001" "ENST00000394767.2"
"CXXC5-002" "ENST00000511048.1"
"CYB561D2-001" "ENST00000232508.5"
"CYB5A-001" "ENST00000340533.4"
"CYB5B-001" "ENST00000512062.1"
"CYB5D1-001" "ENST00000332439.4"
"CYB5D2-001" "ENST00000301391.3"
"CYB5R1-001" "ENST00000367249.4"
"CYB5R2-001" "ENST00000533558.1"
"CYB5R3-001" "ENST00000352397.5"
"CYB5R4-001" "ENST00000369681.3"
"CYBA-001" "ENST00000261623.3"
"CYBASC3-007" "ENST00000536915.1"
"CYBB-001" "ENST00000378588.4"
"CYBRD1-001" "ENST00000321348.4"
"CYC1-001" "ENST00000318911.4"
"CYCS-002" "ENST00000409409.1"
"CYFIP1-001" "ENST00000313077.7"
"CYFIP2-202" "ENST00000347377.6"
"CYHR1-002" "ENST00000530374.1"
"CYLD-201" "ENST00000540145.1"
"CYP1B1-001" "ENST00000260630.3"
"CYP20A1-001" "ENST00000356079.4"
"CYP2R1-001" "ENST00000334636.5"
"CYP2U1-001" "ENST00000332884.6"
"CYP4V2-001" "ENST00000378802.4"
"CYP51A1-001" "ENST00000003100.8"
"CYP7B1-001" "ENST00000310193.3"
"CYSLTR1-001" "ENST00000373304.3"
"CYSTM1-001" "ENST00000261811.4"
"CYTH1-201" "ENST00000361101.4"
"CYTH2-201" "ENST00000427476.1"
"CYTH3-001" "ENST00000350796.3"
"CYTH4-001" "ENST00000248901.6"
"CYTIP-001" "ENST00000264192.3"
"D2HGDH-001" "ENST00000321264.4"
"DAAM1-201" "ENST00000351081.1"
"DACT1-004" "ENST00000335867.4"
"DAD1-002" "ENST00000250498.4"
"DAG1-204" "ENST00000541308.1"
"DAGLB-001" "ENST00000297056.6"
"DAK-001" "ENST00000394900.3"
"DALRD3-002" "ENST00000341949.4"
"DAP-001" "ENST00000230895.6"
"DAP3-001" "ENST00000368336.5"
"DAPK1-008" "ENST00000472284.1"
"DAPK2-201" "ENST00000261891.3"
"DAPK3-201" "ENST00000301264.3"
"DAPP1-002" "ENST00000512369.1"
"DARS-001" "ENST00000264161.4"
"DARS2-001" "ENST00000361951.4"
"DAXX-002" "ENST00000266000.6"
"DAZAP1-001" "ENST00000233078.4"
"DAZAP2-001" "ENST00000412716.2"
"DBF4-001" "ENST00000265728.1"
"DBF4B-001" "ENST00000315005.3"
"DBI-001" "ENST00000355857.3"
"DBN1-004" "ENST00000393565.1"
"DBNL-019" "ENST00000468694.1"
"DBP-001" "ENST00000222122.5"
"DBR1-001" "ENST00000260803.4"
"DBT-001" "ENST00000370132.3"
"DCAF10-001" "ENST00000377724.3"
"DCAF11-001" "ENST00000446197.3"
"DCAF12-001" "ENST00000361264.3"
"DCAF13-001" "ENST00000297579.5"
"DCAF15-001" "ENST00000254337.6"
"DCAF16-201" "ENST00000536863.1"
"DCAF17-001" "ENST00000375255.3"
"DCAF4-001" "ENST00000358377.2"
"DCAF5-001" "ENST00000341516.5"
"DCAF6-001" "ENST00000367840.3"
"DCAF7-201" "ENST00000310827.4"
"DCAKD-004" "ENST00000452796.2"
"DCBLD1-001" "ENST00000338728.5"
"DCBLD2-001" "ENST00000326840.6"
"DCK-001" "ENST00000286648.5"
"DCLRE1A-001" "ENST00000369305.1"
"DCLRE1B-001" "ENST00000369563.3"
"DCLRE1C-009" "ENST00000378278.2"
"DCP1B-002" "ENST00000280665.6"
"DCP2-001" "ENST00000389063.2"
"DCPS-001" "ENST00000263579.4"
"DCTD-009" "ENST00000510370.1"
"DCTN1-001" "ENST00000361874.3"
"DCTN2-001" "ENST00000548249.1"
"DCTN3-008" "ENST00000259632.7"
"DCTN4-001" "ENST00000447998.2"
"DCTN5-001" "ENST00000300087.2"
"DCTN6-001" "ENST00000221114.3"
"DCTPP1-001" "ENST00000319285.4"
"DCUN1D1-001" "ENST00000292782.4"
"DCUN1D2-006" "ENST00000478244.1"
"DCUN1D3-001" "ENST00000324344.3"
"DCUN1D4-001" "ENST00000334635.5"
"DCUN1D5-001" "ENST00000260247.5"
"DCXR-001" "ENST00000306869.2"
"DDA1-001" "ENST00000359866.4"
"DDAH2-002" "ENST00000375789.2"
"DDB1-001" "ENST00000301764.7"
"DDB2-201" "ENST00000256996.4"
"DDHD1-002" "ENST00000395606.1"
"DDHD2-003" "ENST00000520272.2"
"DDI2-001" "ENST00000480945.1"
"DDIT3-006" "ENST00000547303.1"
"DDIT4-001" "ENST00000307365.3"
"DDN-001" "ENST00000421952.2"
"DDOST-001" "ENST00000375048.3"
