ID,ID,ID,ID,USE,USE,MAYBE USE,MAYBE USE,MAYBE USE,MAYBE USE,,,
ENSP00000261772,ENSG00000090861,ENST00000261772,,42572000,0.13,1.87,3.32,2242871.901,0.07,ENSP00000261772_ENSG00000090861_ENST00000261772,968,NaN
ENSP00000205402,ENSG00000091140,ENST00000205402,,71756000,0.09,1.29,2.42,3101375.246,0.05,ENSP00000205402_ENSG00000091140_ENST00000205402;ENSP00000390667_ENSG00000091140_ENST00000417551;ENSP00000417016_ENSG00000091140_ENST00000440410;ENSP00000387542_ENSG00000091140_ENST00000437604;ENSP00000442399_ENSG00000091140_ENST00000537148,509,NaN
ENSP00000217515,ENSG00000091164,ENST00000217515,,7835700,0.03,0.35,0.56,406678.2007,0.02,ENSP00000217515_ENSG00000091164_ENST00000217515;ENSP00000464918_ENSG00000091164_ENST00000590954;ENSP00000468165_ENSG00000091164_ENST00000586262;ENSP00000440251_ENSG00000091164_ENST00000540155,289,NaN
ENSP00000205636,ENSG00000091317,ENST00000205636,,22938000,0.08,2.74,4.27,626721.3115,0.05,ENSP00000205636_ENSG00000091317_ENST00000205636,183,183
ENSP00000355518,ENSG00000091483,ENST00000366560,,69308000,0.17,2.95,4.89,3397450.98,0.10,ENSP00000355518_ENSG00000091483_ENST00000366560,510,510
ENSP00000264993,ENSG00000091527,ENST00000264993,,90851000,0.24,2.64,5.65,4577906.977,0.11,ENSP00000264993_ENSG00000091527_ENST00000264993;ENSP00000391955_ENSG00000091527_ENST00000431519;ENSP00000422866_ENSG00000091527_ENST00000508481,258,NaN
ENSP00000382091,ENSG00000091542,ENST00000399138,,2332600,0.01,0.19,0.19,100644.6701,0.01,ENSP00000382091_ENSG00000091542_ENST00000399138,394,394
ENSP00000206020,ENSG00000091640,ENST00000206020,,4202800,0.02,0.35,0.35,222176.2115,0.02,ENSP00000206020_ENSG00000091640_ENST00000206020,227,227
ENSP00000206451,ENSG00000092010,ENST00000206451,,250250000,0.56,3.70,9.08,15075502.01,0.23,ENSP00000206451_ENSG00000092010_ENST00000206451;ENSP00000372155_ENSG00000092010_ENST00000382708;ENSP00000453976_ENSG00000092010_ENST00000561435,249,NaN
ENSP00000390783,ENSG00000092108,ENST00000458591,,4305100,0.03,0.50,0.76,227990.6542,0.02,ENSP00000390783_ENSG00000092108_ENST00000458591;ENSP00000388078_ENSG00000092108_ENST00000421551;ENSP00000443010_ENSG00000092108_ENST00000544052;ENSP00000379870_ENSG00000092108_ENST00000396629;ENSP00000443537_ENSG00000092108_ENST00000541123,642,NaN
ENSP00000404559,ENSG00000092199,ENST00000449098,,191670000,0.68,4.60,12.11,11775085.32,0.26,ENSP00000404559_ENSG00000092199_ENST00000449098;ENSP00000442816_ENSG00000092199_ENST00000430246;ENSP00000450544_ENSG00000092199_ENST00000553300;ENSP00000450725_ENSG00000092199_ENST00000554969;ENSP00000451176_ENSG00000092199_ENST00000556897;ENSP00000451708_ENSG00000092199_ENST00000555914;ENSP00000338095_ENSG00000092199_ENST00000336053;ENSP00000450548_ENSG00000092199_ENST00000553753;ENSP00000452021_ENSG00000092199_ENST00000554383;ENSP00000450629_ENSG00000092199_ENST00000555883;ENSP00000319690_ENSG00000092199_ENST00000320084;ENSP00000404848_ENSG00000092199_ENST00000420743;ENSP00000451291_ENSG00000092199_ENST00000554455;ENSP00000452276_ENSG00000092199_ENST00000557201;ENSP00000450790_ENSG00000092199_ENST00000555309;ENSP00000451187_ENSG00000092199_ENST00000556142;ENSP00000452214_ENSG00000092199_ENST00000556513;ENSP00000452213_ENSG00000092199_ENST00000555215;ENSP00000452185_ENSG00000092199_ENST00000555137;ENSP00000450467_ENSG00000092199_ENST00000554891;ENSP00000452599_ENSG00000092199_ENST00000557442;ENSP00000451292_ENSG00000092199_ENST00000556226;ENSP00000452573_ENSG00000092199_ENST00000555176,293,NaN
ENSP00000216297,ENSG00000092201,ENST00000216297,,310520,0.00,0.04,0.04,16015.28176,0.00,ENSP00000216297_ENSG00000092201_ENST00000216297;ENSP00000450910_ENSG00000092201_ENST00000555943;ENSP00000451517_ENSG00000092201_ENST00000557652;ENSP00000452259_ENSG00000092201_ENST00000556309,1047,NaN
ENSP00000249647,ENSG00000092531,ENST00000249647,,7857300,0.07,0.94,1.46,446862.5592,0.04,ENSP00000249647_ENSG00000092531_ENST00000249647;ENSP00000454214_ENSG00000092531_ENST00000561526;ENSP00000207062_ENSG00000092531_ENST00000349777;ENSP00000380327_ENSG00000092531_ENST00000397138;ENSP00000456000_ENSG00000092531_ENST00000563830;ENSP00000455102_ENSG00000092531_ENST00000568841;ENSP00000458012_ENSG00000092531_ENST00000566327;ENSP00000455339_ENSG00000092531_ENST00000564153;ENSP00000456035_ENSG00000092531_ENST00000568859;ENSP00000454799_ENSG00000092531_ENST00000568451;ENSP00000455472_ENSG00000092531_ENST00000567094;ENSP00000455652_ENSG00000092531_ENST00000568331,211,NaN
ENSP00000338934,ENSG00000092820,ENST00000337147,,104290000,0.75,7.99,16.47,5694880.546,0.36,ENSP00000338934_ENSG00000092820_ENST00000337147;ENSP00000356042_ENSG00000092820_ENST00000367075;ENSP00000376016_ENSG00000092820_ENST00000392177,586,NaN
ENSP00000293422,ENSG00000092841,ENST00000293422,,564620000,1.24,8.24,22.24,37146052.63,0.46,ENSP00000293422_ENSG00000092841_ENST00000293422;ENSP00000446714_ENSG00000092841_ENST00000547649;ENSP00000441750_ENSG00000092841_ENST00000536128;ENSP00000446721_ENSG00000092841_ENST00000547408;ENSP00000301540_ENSG00000092841_ENST00000348108;ENSP00000446955_ENSG00000092841_ENST00000550697;ENSP00000448101_ENSG00000092841_ENST00000548293;ENSP00000446687_ENSG00000092841_ENST00000551589;ENSP00000450116_ENSG00000092841_ENST00000549392,152,NaN
ENSP00000388093,ENSG00000092929,ENST00000412096,,554670,0.00,0.06,0.10,24770.57793,0.00,ENSP00000388093_ENSG00000092929_ENST00000412096;ENSP00000207549_ENSG00000092929_ENST00000207549,1142,NaN
ENSP00000309539,ENSG00000092964,ENST00000311151,,4565400,0.04,0.39,0.91,247430.0699,0.02,ENSP00000309539_ENSG00000092964_ENST00000311151;ENSP00000427985_ENSG00000092964_ENST00000521913;ENSP00000431117_ENSG00000092964_ENST00000523027,572,NaN
ENSP00000352385,ENSG00000095139,ENST00000359415,,3199800,0.02,0.27,0.40,168105.0725,0.01,ENSP00000352385_ENSG00000095139_ENST00000359415;ENSP00000469662_ENSG00000269382_ENST00000594860;ENSP00000264028_ENSG00000095139_ENST00000264028;ENSP00000471768_ENSG00000269382_ENST00000596715;ENSP00000376599_ENSG00000095139_ENST00000392859;ENSP00000468926_ENSG00000269382_ENST00000593602,552,NaN
ENSP00000210313,ENSG00000095261,ENST00000210313,,629440,0.01,0.05,0.20,34968.25397,0.00,ENSP00000210313_ENSG00000095261_ENST00000210313;ENSP00000363011_ENSG00000095261_ENST00000373904,504,NaN
ENSP00000210444,ENSG00000095380,ENST00000210444,,14776000,0.10,1.62,2.47,658551.532,0.06,ENSP00000210444_ENSG00000095380_ENST00000210444,359,NaN
ENSP00000262302,ENSG00000095906,ENST00000262302,,4550300,0.02,0.42,0.83,235070.1107,0.01,ENSP00000262302_ENSG00000095906_ENST00000262302;ENSP00000455896_ENSG00000095906_ENST00000565987;ENSP00000437763_ENSG00000095906_ENST00000543305;ENSP00000460079_ENSG00000095906_ENST00000568706,271,NaN
ENSP00000349811,ENSG00000096060,ENST00000357266,,1543200,0.01,0.16,0.16,97927.78993,0.01,ENSP00000349811_ENSG00000096060_ENST00000357266;ENSP00000441205_ENSG00000096060_ENST00000539068;ENSP00000444810_ENSG00000096060_ENST00000536438;ENSP00000445412_ENSG00000096060_ENST00000540787;ENSP00000442340_ENSG00000096060_ENST00000542713,457,NaN
ENSP00000398679,ENSG00000096080,ENST00000427312,,3036300,0.02,0.31,0.51,172518.9394,0.01,ENSP00000398679_ENSG00000096080_ENST00000427312;ENSP00000361206_ENSG00000096080_ENST00000372133,264,NaN
ENSP00000211372,ENSG00000096150,ENST00000211372,,378210000,1.18,8.33,21.74,22394078.95,0.45,ENSP00000211372_ENSG00000096150_ENST00000211372;ENSP00000393241_ENSG00000231500_ENST00000439602;ENSP00000403175_ENSG00000226225_ENST00000434122;ENSP00000412583_ENSG00000223367_ENST00000457341;ENSP00000416110_ENSG00000235650_ENST00000454021,152,NaN
ENSP00000211402,ENSG00000096171,ENST00000211402,,13781000,0.06,0.87,1.69,643275.3165,0.03,ENSP00000211402_ENSG00000096171_ENST00000211402;ENSP00000364815_ENSG00000204394_ENST00000375663;ENSP00000401121_ENSG00000224264_ENST00000422694;ENSP00000403359_ENSG00000226589_ENST00000457796;ENSP00000415316_ENSG00000231116_ENST00000435657;ENSP00000390673_ENSG00000231945_ENST00000425144;ENSP00000392396_ENSG00000227686_ENST00000424974,1264,NaN
ENSP00000325875,ENSG00000096384,ENST00000353801,,701900000,1.25,10.86,27.12,31993093.92,0.50,ENSP00000325875_ENSG00000096384_ENST00000353801;ENSP00000360609_ENSG00000096384_ENST00000371554;ENSP00000360709_ENSG00000096384_ENST00000371646,724,NaN
ENSP00000360532,ENSG00000096401,ENST00000371477,,381400,0.01,0.17,0.20,18071.07232,0.01,ENSP00000360532_ENSG00000096401_ENST00000371477,802,802
ENSP00000265866,ENSG00000096746,ENST00000265866,,21505000,0.08,0.92,2.00,932312.1387,0.03,ENSP00000265866_ENSG00000096746_ENST00000265866;ENSP00000346726_ENSG00000096746_ENST00000354695;ENSP00000409869_ENSG00000096746_ENST00000441000,346,NaN
ENSP00000354615,ENSG00000097021,ENST00000361521,,3764300,0.03,0.48,0.66,172951.3514,0.02,ENSP00000354615_ENSG00000097021_ENST00000361521;ENSP00000476610_ENSG00000097021_ENST00000608083;ENSP00000367091_ENSG00000097021_ENST00000377860;ENSP00000402532_ENSG00000097021_ENST00000418124;ENSP00000367086_ENSG00000097021_ENST00000377855;ENSP00000367076_ENSG00000097021_ENST00000377845;ENSP00000367073_ENSG00000097021_ENST00000377842;ENSP00000465719_ENSG00000097021_ENST00000473466;ENSP00000439218_ENSG00000097021_ENST00000545482;ENSP00000441872_ENSG00000097021_ENST00000541130,370,NaN
ENSP00000418744,ENSG00000097033,ENST00000482504,,2433900,0.01,0.13,0.20,100888.601,0.01,ENSP00000418744_ENSG00000097033_ENST00000482504;ENSP00000473267_ENSG00000097033_ENST00000370558;ENSP00000441355_ENSG00000097033_ENST00000535010,386,NaN
ENSP00000322887,ENSG00000099622,ENST00000320936,,1859300,0.02,0.28,0.41,108098.8372,0.01,ENSP00000322887_ENSG00000099622_ENST00000320936;ENSP00000465779_ENSG00000099622_ENST00000586472;ENSP00000466110_ENSG00000099622_ENST00000585630;ENSP00000466207_ENSG00000099622_ENST00000588090;ENSP00000468224_ENSG00000099622_ENST00000589660;ENSP00000468788_ENSG00000099622_ENST00000588030;ENSP00000465077_ENSG00000099622_ENST00000587323;ENSP00000465558_ENSG00000099622_ENST00000588230;ENSP00000466025_ENSG00000099622_ENST00000587896;ENSP00000466897_ENSG00000099622_ENST00000589710;ENSP00000412831_ENSG00000099622_ENST00000413636;ENSP00000467948_ENSG00000099622_ENST00000585914;ENSP00000468097_ENSG00000099622_ENST00000591659;ENSP00000464906_ENSG00000099622_ENST00000586636;ENSP00000465334_ENSG00000099622_ENST00000589686;ENSP00000467449_ENSG00000099622_ENST00000585913;ENSP00000467734_ENSG00000099622_ENST00000591935;ENSP00000467848_ENSG00000099622_ENST00000589235;ENSP00000468645_ENSG00000099622_ENST00000586773;ENSP00000466712_ENSG00000099622_ENST00000586548;ENSP00000466216_ENSG00000099622_ENST00000591055;ENSP00000467307_ENSG00000099622_ENST00000590347;ENSP00000465338_ENSG00000099622_ENST00000588411;ENSP00000467138_ENSG00000099622_ENST00000589266;ENSP00000466238_ENSG00000099622_ENST00000588344,172,NaN
ENSP00000215375,ENSG00000099624,ENST00000215375,,10928000,0.02,0.71,0.95,325238.0952,0.02,ENSP00000215375_ENSG00000099624_ENST00000215375;ENSP00000378995_ENSG00000099624_ENST00000395633;ENSP00000464863_ENSG00000099624_ENST00000591660,168,NaN
ENSP00000325376,ENSG00000099783,ENST00000325495,,137230000,0.41,4.62,9.87,8835205.479,0.19,ENSP00000325376_ENSG00000099783_ENST00000325495;ENSP00000325732_ENSG00000099783_ENST00000348943;ENSP00000470635_ENSG00000099783_ENST00000597270,730,NaN
ENSP00000215570,ENSG00000099800,ENST00000215570,,6432500,0.12,1.41,2.21,406263.1579,0.07,ENSP00000215570_ENSG00000099800_ENST00000215570;ENSP00000464881_ENSG00000099800_ENST00000591871,95,NaN
ENSP00000461932,ENSG00000099810,ENST00000460874,,7869800,0.02,0.50,0.58,524666.6667,0.02,ENSP00000461932_ENSG00000099810_ENST00000460874;ENSP00000369519_ENSG00000099810_ENST00000380172;ENSP00000463424_ENSG00000099810_ENST00000580900;ENSP00000464616_ENSG00000099810_ENST00000580718;ENSP00000385916_ENSG00000264545_ENST00000404796,300,NaN
ENSP00000215587,ENSG00000099817,ENST00000215587,,386610,0.00,0.14,0.14,20250.95238,0.00,ENSP00000215587_ENSG00000099817_ENST00000215587;ENSP00000464739_ENSG00000099817_ENST00000586746;ENSP00000465066_ENSG00000099817_ENST00000591767;ENSP00000467905_ENSG00000099817_ENST00000589737,210,NaN
ENSP00000327583,ENSG00000099901,ENST00000331821,,380910000,0.54,7.82,18.54,15160696.52,0.23,ENSP00000327583_ENSG00000099901_ENST00000331821;ENSP00000384925_ENSG00000099901_ENST00000402752;ENSP00000404298_ENSG00000099901_ENST00000423859;ENSP00000413502_ENSG00000099901_ENST00000418705;ENSP00000395472_ENSG00000099901_ENST00000411892;ENSP00000401564_ENSG00000099901_ENST00000430524;ENSP00000398300_ENSG00000099901_ENST00000448394,201,NaN
ENSP00000346300,ENSG00000099942,ENST00000354336,,9399800,0.14,0.88,3.08,496369.637,0.04,ENSP00000346300_ENSG00000099942_ENST00000354336;ENSP00000396646_ENSG00000099942_ENST00000411769,303,NaN
ENSP00000385714,ENSG00000099977,ENST00000404092,,395600000,0.53,5.24,14.11,20978787.88,0.20,ENSP00000385714_ENSG00000099977_ENST00000404092;ENSP00000215773_ENSG00000099977_ENST00000350608;ENSP00000381386_ENSG00000099977_ENST00000398344;ENSP00000384866_ENSG00000099977_ENST00000403754;ENSP00000215770_ENSG00000099974_ENST00000215770;ENSP00000399768_ENSG00000099977_ENST00000430101,132,NaN
ENSP00000215793,ENSG00000099995,ENST00000215793,,461820,0.01,0.12,0.18,23877.6797,0.01,ENSP00000215793_ENSG00000099995_ENST00000215793;ENSP00000390336_ENSG00000099995_ENST00000439242;ENSP00000400862_ENSG00000099995_ENST00000444440,793,NaN
ENSP00000215829,ENSG00000100028,ENST00000215829,,24100000,0.10,1.88,2.51,1147619.048,0.07,ENSP00000215829_ENSG00000100028_ENST00000215829;ENSP00000456090_ENSG00000100028_ENST00000404603;ENSP00000385266_ENSG00000100028_ENST00000402849;ENSP00000456969_ENSG00000100028_ENST00000439775,126,NaN
ENSP00000346725,ENSG00000100029,ENST00000354694,,1268400,0.01,0.15,0.21,62557.82313,0.01,ENSP00000346725_ENSG00000100029_ENST00000354694;ENSP00000334612_ENSG00000100029_ENST00000335214;ENSP00000384252_ENSG00000100029_ENST00000402284;ENSP00000384366_ENSG00000100029_ENST00000402281;ENSP00000385654_ENSG00000100029_ENST00000405677,588,NaN
ENSP00000215832,ENSG00000100030,ENST00000215832,,12643000,0.05,0.64,1.21,772611.1111,0.03,ENSP00000215832_ENSG00000100030_ENST00000215832;ENSP00000381803_ENSG00000100030_ENST00000398822;ENSP00000440842_ENSG00000100030_ENST00000544786,360,NaN
ENSP00000215882,ENSG00000100075,ENST00000215882,,5366400,0.07,1.32,2.16,293340.836,0.05,ENSP00000215882_ENSG00000100075_ENST00000215882;ENSP00000472050_ENSG00000268928_ENST00000598008,311,NaN
ENSP00000350018,ENSG00000100092,ENST00000357436,,1341900,0.01,0.15,0.19,65084.16548,0.01,ENSP00000350018_ENSG00000100092_ENST00000357436;ENSP00000395126_ENSG00000100092_ENST00000442465;ENSP00000337213_ENSG00000100092_ENST00000336738;ENSP00000411979_ENSG00000100092_ENST00000417536;ENSP00000470417_ENSG00000100092_ENST00000599616,701,NaN
ENSP00000215909,ENSG00000100097,ENST00000215909,,1562200000,2.50,28.93,56.52,104148148.1,1.28,ENSP00000215909_ENSG00000100097_ENST00000215909,135,NaN
ENSP00000416892,ENSG00000100129,ENST00000412331,,16655000,0.06,0.81,1.41,856382.9787,0.03,ENSP00000416892_ENSG00000100129_ENST00000412331;ENSP00000371099_ENSG00000100129_ENST00000381683;ENSP00000384634_ENSG00000100129_ENST00000406934,564,NaN
ENSP00000383989,ENSG00000100138,ENST00000402458,,27204000,0.13,2.14,3.64,1648787.879,0.08,ENSP00000383989_ENSG00000100138_ENST00000402458;ENSP00000215956_ENSG00000100138_ENST00000215956;ENSP00000347401_ENSG00000100138_ENST00000355257;ENSP00000383949_ENSG00000100138_ENST00000401959,132,NaN
ENSP00000380033,ENSG00000100201,ENST00000396821,,15594000,0.10,1.55,2.59,789288.6457,0.06,ENSP00000380033_ENSG00000100201_ENST00000396821;ENSP00000385536_ENSG00000100201_ENST00000403230;ENSP00000371046_ENSG00000100201_ENST00000381633,731,NaN
ENSP00000216034,ENSG00000100216,ENST00000216034,,72274000,0.14,2.10,3.50,3562816.901,0.08,ENSP00000216034_ENSG00000100216_ENST00000216034,142,142
ENSP00000216038,ENSG00000100220,ENST00000216038,,16519000,0.06,0.80,1.33,785089.1089,0.04,ENSP00000216038_ENSG00000100220_ENST00000216038;ENSP00000413466_ENSG00000100220_ENST00000451746,505,NaN
ENSP00000252115,ENSG00000100227,ENST00000252115,,1222900,0.01,0.09,0.14,69714.96437,0.00,ENSP00000252115_ENSG00000100227_ENST00000252115;ENSP00000252116_ENSG00000100227_ENST00000348657;ENSP00000415234_ENSG00000100227_ENST00000445215;ENSP00000408046_ENSG00000100227_ENST00000454057;ENSP00000397927_ENSG00000100227_ENST00000451060;ENSP00000343060_ENSG00000100227_ENST00000339677,421,NaN
ENSP00000354468,ENSG00000100243,ENST00000361740,,7107500,0.03,0.54,0.90,361766.4671,0.02,ENSP00000354468_ENSG00000100243_ENST00000361740;ENSP00000338461_ENSG00000100243_ENST00000352397;ENSP00000379597_ENSG00000100243_ENST00000396303;ENSP00000384457_ENSG00000100243_ENST00000407332;ENSP00000384834_ENSG00000100243_ENST00000407623;ENSP00000385679_ENSG00000100243_ENST00000402438;ENSP00000403439_ENSG00000100243_ENST00000438270,334,NaN
ENSP00000350199,ENSG00000100280,ENST00000357586,,1093400,0.01,0.08,0.14,50694.41517,0.00,ENSP00000350199_ENSG00000100280_ENST00000357586;ENSP00000384194_ENSG00000100280_ENST00000405198;ENSP00000348297_ENSG00000100280_ENST00000356015;ENSP00000386071_ENSG00000100280_ENST00000402502;ENSP00000387612_ENSG00000100280_ENST00000415447;ENSP00000400065_ENSG00000100280_ENST00000432560;ENSP00000319361_ENSG00000100280_ENST00000317368;ENSP00000400022_ENSG00000100280_ENST00000421126,949,NaN
ENSP00000216122,ENSG00000100297,ENST00000216122,,7998500,0.04,0.64,1.08,457683.9237,0.03,ENSP00000216122_ENSG00000100297_ENST00000216122;ENSP00000371441_ENSG00000100297_ENST00000382011,734,NaN
ENSP00000216129,ENSG00000100304,ENST00000216129,,7965400,0.02,0.53,0.66,420527.9503,0.02,ENSP00000216129_ENSG00000100304_ENST00000216129,644,NaN
ENSP00000346001,ENSG00000100316,ENST00000216146,,155080000,0.47,7.50,13.97,7311414.392,0.25,ENSP00000346001_ENSG00000100316_ENST00000216146;ENSP00000386101_ENSG00000100316_ENST00000401609;ENSP00000415198_ENSG00000100316_ENST00000453303;ENSP00000385762_ENSG00000100316_ENST00000402527;ENSP00000412713_ENSG00000100316_ENST00000427905,403,NaN
ENSP00000216181,ENSG00000100345,ENST00000216181,,227670000,0.45,4.10,8.43,12080612.24,0.22,ENSP00000216181_ENSG00000100345_ENST00000216181,1960,NaN
ENSP00000216185,ENSG00000100348,ENST00000216185,,3627500,0.01,0.29,0.29,174819.2771,0.01,ENSP00000216185_ENSG00000100348_ENST00000216185;ENSP00000385393_ENSG00000100348_ENST00000403313;ENSP00000469160_ENSG00000100348_ENST00000416967,166,NaN
ENSP00000216190,ENSG00000100353,ENST00000216190,,17463000,0.07,1.20,2.03,796678.8321,0.04,ENSP00000216190_ENSG00000100353_ENST00000216190;ENSP00000385812_ENSG00000100353_ENST00000405442;ENSP00000438705_ENSG00000100353_ENST00000541106;ENSP00000390438_ENSG00000100353_ENST00000455547,548,NaN
ENSP00000216218,ENSG00000100380,ENST00000216218,,388220000,0.36,5.12,9.02,11572899.73,0.20,ENSP00000216218_ENSG00000100380_ENST00000216218;ENSP00000412049_ENSG00000100380_ENST00000413424;ENSP00000392067_ENSG00000100380_ENST00000411695,369,NaN
ENSP00000216225,ENSG00000100387,ENST00000216225,,5525200,0.11,2.34,4.69,153481.4815,0.06,ENSP00000216225_ENSG00000100387_ENST00000216225,108,108
ENSP00000348577,ENSG00000100401,ENST00000356244,,4325300,0.02,0.33,0.41,198943.7819,0.01,ENSP00000348577_ENSG00000100401_ENST00000356244;ENSP00000385866_ENSG00000100401_ENST00000405486;ENSP00000401470_ENSG00000100401_ENST00000455915;ENSP00000385354_ENSG00000100401_ENST00000407260,587,NaN
ENSP00000216252,ENSG00000100410,ENST00000216252,,1051100,0.02,0.30,0.60,76444.54545,0.01,ENSP00000216252_ENSG00000100410_ENST00000216252,110,110
ENSP00000379769,ENSG00000100412,ENST00000396512,,80207000,0.18,2.22,4.18,3885838.509,0.09,ENSP00000379769_ENSG00000100412_ENST00000396512;ENSP00000216254_ENSG00000100412_ENST00000216254,805,NaN
ENSP00000216330,ENSG00000100442,ENST00000216330,,45403000,0.08,1.12,1.26,2026919.643,0.07,ENSP00000216330_ENSG00000100442_ENST00000216330;ENSP00000379374_ENSG00000100442_ENST00000396062,224,NaN
ENSP00000319169,ENSG00000100462,ENST00000324366,,7412700,0.04,0.76,1.26,372386.1852,0.02,ENSP00000319169_ENSG00000100462_ENST00000324366;ENSP00000452555_ENSG00000100462_ENST00000553897;ENSP00000380583_ENSG00000100462_ENST00000397441;ENSP00000216350_ENSG00000100462_ENST00000216350;ENSP00000380582_ENSG00000100462_ENST00000397440;ENSP00000409482_ENSG00000100462_ENST00000421938;ENSP00000450737_ENSG00000100462_ENST00000553550;ENSP00000452218_ENSG00000100462_ENST00000554867,637,NaN
ENSP00000401802,ENSG00000100519,ENST00000445930,,10459000,0.08,1.03,1.87,596923.0769,0.04,ENSP00000401802_ENSG00000100519_ENST00000445930;ENSP00000475721_ENSG00000100519_ENST00000606149;ENSP00000451156_ENSG00000100519_ENST00000556813;ENSP00000452048_ENSG00000100519_ENST00000555339,403,NaN
ENSP00000216455,ENSG00000100567,ENST00000216455,,37841000,0.15,1.74,3.24,1929137.255,0.08,ENSP00000216455_ENSG00000100567_ENST00000216455;ENSP00000390491_ENSG00000100567_ENST00000412908,255,NaN
ENSP00000216479,ENSG00000100591,ENST00000216479,,13747000,0.07,0.76,1.36,813431.9527,0.04,ENSP00000216479_ENSG00000100591_ENST00000216479;ENSP00000440108_ENSG00000100591_ENST00000535854;ENSP00000451569_ENSG00000100591_ENST00000555133;ENSP00000450890_ENSG00000100591_ENST00000556369;ENSP00000451475_ENSG00000100591_ENST00000553374,338,NaN
ENSP00000451129,ENSG00000100603,ENST00000555761,,4943600,0.02,0.24,0.40,242416.8126,0.01,ENSP00000451129_ENSG00000100603_ENST00000555761;ENSP00000261531_ENSG00000100603_ENST00000261531;ENSP00000452473_ENSG00000100603_ENST00000554324,571,NaN
ENSP00000451080,ENSG00000100632,ENST00000557016,,128120000,0.54,10.20,21.96,6159807.692,0.25,ENSP00000451080_ENSG00000100632_ENST00000557016;ENSP00000450503_ENSG00000100632_ENST00000555373,104,NaN
ENSP00000377892,ENSG00000100650,ENST00000394366,,13330000,0.10,1.58,3.04,392058.8235,0.05,ENSP00000377892_ENSG00000100650_ENST00000394366;ENSP00000451088_ENSG00000100650_ENST00000557154;ENSP00000452123_ENSG00000100650_ENST00000553521;ENSP00000451391_ENSG00000100650_ENST00000553635,272,NaN
ENSP00000216554,ENSG00000100664,ENST00000216554,,4459500,0.01,0.20,0.26,227631.0905,0.01,ENSP00000216554_ENSG00000100664_ENST00000216554;ENSP00000376477_ENSG00000100664_ENST00000392715;ENSP00000453743_ENSG00000100664_ENST00000558506;ENSP00000453856_ENSG00000100664_ENST00000558265;ENSP00000453396_ENSG00000100664_ENST00000558316,431,NaN
ENSP00000438588,ENSG00000100714,ENST00000545908,,84394000,0.27,3.32,6.96,4633431.373,0.13,ENSP00000438588_ENSG00000100714_ENST00000545908;ENSP00000216605_ENSG00000100714_ENST00000216605,1020,NaN
ENSP00000261303,ENSG00000100764,ENST00000261303,,5048100,0.03,0.33,0.57,286818.1818,0.02,ENSP00000261303_ENSG00000100764_ENST00000261303;ENSP00000445147_ENSG00000100764_ENST00000543772,440,NaN
ENSP00000262710,ENSG00000100813,ENST00000262710,,3625000,0.01,0.29,0.44,183818.0462,0.01,ENSP00000262710_ENSG00000100813_ENST00000262710;ENSP00000451328_ENSG00000100813_ENST00000555053;ENSP00000405677_ENSG00000100813_ENST00000457657;ENSP00000474349_ENSG00000100813_ENST00000605057,1341,NaN
ENSP00000216714,ENSG00000100823,ENST00000216714,,57284000,0.12,2.17,3.14,2521949.686,0.08,ENSP00000216714_ENSG00000100823_ENST00000216714;ENSP00000381111_ENSG00000100823_ENST00000398030;ENSP00000451979_ENSG00000100823_ENST00000555414;ENSP00000451327_ENSG00000100823_ENST00000553681;ENSP00000452460_ENSG00000100823_ENST00000555839,318,NaN
ENSP00000216727,ENSG00000100836,ENST00000216727,,52825000,0.13,1.28,4.28,2071568.627,0.04,ENSP00000216727_ENSG00000100836_ENST00000216727;ENSP00000380446_ENSG00000100836_ENST00000397276,306,NaN
ENSP00000216774,ENSG00000100883,ENST00000216774,,435450,0.00,0.07,0.07,25918.65079,0.00,ENSP00000216774_ENSG00000100883_ENST00000216774;ENSP00000451818_ENSG00000100883_ENST00000556994;ENSP00000451647_ENSG00000100883_ENST00000555746,504,NaN
ENSP00000216780,ENSG00000100889,ENST00000216780,,18038000,0.06,0.76,1.30,1014609.375,0.03,ENSP00000216780_ENSG00000100889_ENST00000216780;ENSP00000453444_ENSG00000100889_ENST00000559250;ENSP00000441826_ENSG00000100889_ENST00000545054;ENSP00000454011_ENSG00000100889_ENST00000561286;ENSP00000453656_ENSG00000100889_ENST00000558096;ENSP00000380171_ENSG00000100889_ENST00000396973,640,NaN
ENSP00000261479,ENSG00000100902,ENST00000261479,,30656000,0.24,4.05,6.64,2118536.585,0.15,ENSP00000261479_ENSG00000100902_ENST00000261479;ENSP00000452603_ENSG00000100902_ENST00000553809;ENSP00000450528_ENSG00000100902_ENST00000556506;ENSP00000444844_ENSG00000100902_ENST00000540871;ENSP00000451254_ENSG00000100902_ENST00000554961;ENSP00000452566_ENSG00000100902_ENST00000555764,246,NaN
ENSP00000216802,ENSG00000100911,ENST00000216802,,79979000,0.36,3.98,7.53,4684937.238,0.19,ENSP00000216802_ENSG00000100911_ENST00000216802;ENSP00000453487_ENSG00000100911_ENST00000560410,239,NaN
