GO_TERM	FULL_NAME
GO:0009207	purine ribonucleoside triphosphate catabolic process
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process
GO:0009209	pyrimidine ribonucleoside triphosphate biosynthetic process
GO:0009211	pyrimidine deoxyribonucleoside triphosphate metabolic process
GO:0009212	pyrimidine deoxyribonucleoside triphosphate biosynthetic process
GO:0009214	cyclic nucleotide catabolic process
GO:0009215	purine deoxyribonucleoside triphosphate metabolic process
GO:0009216	purine deoxyribonucleoside triphosphate biosynthetic process
GO:0009217	purine deoxyribonucleoside triphosphate catabolic process
GO:0009218	pyrimidine ribonucleotide metabolic process
GO:0009219	pyrimidine deoxyribonucleotide metabolic process
GO:0009220	pyrimidine ribonucleotide biosynthetic process
GO:0009221	pyrimidine deoxyribonucleotide biosynthetic process
GO:0009222	pyrimidine ribonucleotide catabolic process
GO:0009223	pyrimidine deoxyribonucleotide catabolic process
GO:0009225	nucleotide-sugar metabolic process
GO:0009226	nucleotide-sugar biosynthetic process
GO:0009227	nucleotide-sugar catabolic process
GO:0009229	thiamine diphosphate biosynthetic process
GO:0009231	riboflavin biosynthetic process
GO:0009233	menaquinone metabolic process
GO:0009234	menaquinone biosynthetic process
GO:0009235	cobalamin metabolic process
GO:0009236	cobalamin biosynthetic process
GO:0009237	siderophore metabolic process
GO:0009240	isopentenyl diphosphate biosynthetic process
GO:0009247	glycolipid biosynthetic process
GO:0009249	protein lipoylation
GO:0009250	glucan biosynthetic process
GO:0009251	glucan catabolic process
GO:0009256	10-formyltetrahydrofolate metabolic process
GO:0009258	10-formyltetrahydrofolate catabolic process
GO:0009259	ribonucleotide metabolic process
GO:0009260	ribonucleotide biosynthetic process
GO:0009261	ribonucleotide catabolic process
GO:0009262	deoxyribonucleotide metabolic process
GO:0009263	deoxyribonucleotide biosynthetic process
GO:0009264	deoxyribonucleotide catabolic process
GO:0009265	2'-deoxyribonucleotide biosynthetic process
GO:0009266	response to temperature stimulus
GO:0009267	cellular response to starvation
GO:0009268	response to pH
GO:0009279	cell outer membrane
GO:0009292	genetic transfer
GO:0009294	DNA mediated transformation
GO:0009295	nucleoid
GO:0009298	GDP-mannose biosynthetic process
GO:0009299	mRNA transcription
GO:0009301	snRNA transcription
GO:0009303	rRNA transcription
GO:0009304	tRNA transcription
GO:0009305	protein biotinylation
GO:0009306	protein secretion
GO:0009308	amine metabolic process
GO:0009309	amine biosynthetic process
GO:0009310	amine catabolic process
GO:0009311	oligosaccharide metabolic process
GO:0009312	oligosaccharide biosynthetic process
GO:0009313	oligosaccharide catabolic process
GO:0009314	response to radiation
GO:0009330	DNA topoisomerase complex (ATP-hydrolyzing)
GO:0009331	glycerol-3-phosphate dehydrogenase complex
GO:0009346	citrate lyase complex
GO:0009360	DNA polymerase III complex
GO:0009368	endopeptidase Clp complex
GO:0009372	quorum sensing
GO:0009374	biotin binding
GO:0009378	four-way junction helicase activity
GO:0009384	N-acylmannosamine kinase activity
GO:0009394	2'-deoxyribonucleotide metabolic process
GO:0009395	phospholipid catabolic process
GO:0009396	folic acid-containing compound biosynthetic process
GO:0009397	folic acid-containing compound catabolic process
GO:0009398	FMN biosynthetic process
GO:0009399	nitrogen fixation
GO:0009404	toxin metabolic process
GO:0009405	pathogenesis
GO:0009408	response to heat
GO:0009409	response to cold
GO:0009410	response to xenobiotic stimulus
GO:0009411	response to UV
GO:0009414	response to water deprivation
GO:0009415	response to water stimulus
GO:0009416	response to light stimulus
GO:0009435	NAD biosynthetic process
GO:0009437	carnitine metabolic process
GO:0009438	methylglyoxal metabolic process
GO:0009439	cyanate metabolic process
GO:0009440	cyanate catabolic process
GO:0009441	glycolate metabolic process
GO:0009443	pyridoxal 5'-phosphate salvage
GO:0009445	putrescine metabolic process
GO:0009446	putrescine biosynthetic process
GO:0009447	putrescine catabolic process
GO:0009448	gamma-aminobutyric acid metabolic process
GO:0009450	gamma-aminobutyric acid catabolic process
GO:0009451	RNA modification
GO:0009452	7-methylguanosine RNA capping
GO:0009566	fertilization
GO:0009581	detection of external stimulus
GO:0009582	detection of abiotic stimulus
GO:0009583	detection of light stimulus
GO:0009584	detection of visible light
GO:0009589	detection of UV
GO:0009593	detection of chemical stimulus
GO:0009595	detection of biotic stimulus
GO:0009597	detection of virus
GO:0009605	response to external stimulus
GO:0009607	response to biotic stimulus
GO:0009608	response to symbiont
GO:0009609	response to symbiotic bacterium
GO:0009611	response to wounding
GO:0009612	response to mechanical stimulus
GO:0009615	response to virus
GO:0009617	response to bacterium
GO:0009620	response to fungus
GO:0009624	response to nematode
GO:0009628	response to abiotic stimulus
GO:0009629	response to gravity
GO:0009631	cold acclimation
GO:0009635	response to herbicide
GO:0009636	response to toxic substance
GO:0009637	response to blue light
GO:0009642	response to light intensity
GO:0009645	response to low light intensity stimulus
GO:0009648	photoperiodism
GO:0009649	entrainment of circadian clock
GO:0009650	UV protection
GO:0009651	response to salt stress
GO:0009653	anatomical structure morphogenesis
GO:0009698	phenylpropanoid metabolic process
GO:0009712	catechol-containing compound metabolic process
GO:0009713	catechol-containing compound biosynthetic process
GO:0009719	response to endogenous stimulus
GO:0009720	detection of hormone stimulus
GO:0009725	response to hormone stimulus
GO:0009726	detection of endogenous stimulus
GO:0009737	response to abscisic acid stimulus
GO:0009738	abscisic acid mediated signaling pathway
GO:0009743	response to carbohydrate stimulus
GO:0009744	response to sucrose stimulus
GO:0009746	response to hexose stimulus
GO:0009749	response to glucose stimulus
GO:0009750	response to fructose stimulus
GO:0009755	hormone-mediated signaling pathway
GO:0009758	carbohydrate utilization
GO:0009785	blue light signaling pathway
GO:0009786	regulation of asymmetric cell division
GO:0009787	regulation of abscisic acid mediated signaling pathway
GO:0009789	positive regulation of abscisic acid mediated signaling pathway
GO:0009790	embryo development
GO:0009791	post-embryonic development
GO:0009792	embryo development ending in birth or egg hatching
GO:0009794	regulation of mitotic cell cycle, embryonic
GO:0009798	axis specification
GO:0009799	specification of symmetry
GO:0009810	stilbene metabolic process
GO:0009812	flavonoid metabolic process
GO:0009820	alkaloid metabolic process
GO:0009826	unidimensional cell growth
GO:0009838	abscission
GO:0009841	mitochondrial endopeptidase Clp complex
GO:0009855	determination of bilateral symmetry
GO:0009880	embryonic pattern specification
GO:0009881	photoreceptor activity
GO:0009882	blue light photoreceptor activity
GO:0009886	post-embryonic morphogenesis
GO:0009887	organ morphogenesis
GO:0009888	tissue development
GO:0009889	regulation of biosynthetic process
GO:0009890	negative regulation of biosynthetic process
GO:0009891	positive regulation of biosynthetic process
GO:0009892	negative regulation of metabolic process
GO:0009893	positive regulation of metabolic process
GO:0009894	regulation of catabolic process
GO:0009895	negative regulation of catabolic process
GO:0009896	positive regulation of catabolic process
GO:0009897	external side of plasma membrane
GO:0009898	internal side of plasma membrane
GO:0009912	auditory receptor cell fate commitment
GO:0009913	epidermal cell differentiation
GO:0009914	hormone transport
GO:0009922	fatty acid elongase activity
GO:0009925	basal plasma membrane
GO:0009931	calcium-dependent protein serine/threonine kinase activity
GO:0009948	anterior/posterior axis specification
GO:0009950	dorsal/ventral axis specification
GO:0009952	anterior/posterior pattern specification
GO:0009953	dorsal/ventral pattern formation
GO:0009954	proximal/distal pattern formation
GO:0009957	epidermal cell fate specification
GO:0009966	regulation of signal transduction
GO:0009967	positive regulation of signal transduction
GO:0009968	negative regulation of signal transduction
GO:0009972	cytidine deamination
GO:0009975	cyclase activity
GO:0009982	pseudouridine synthase activity
GO:0009986	cell surface
GO:0009987	cellular process
GO:0009988	cell-cell recognition
GO:0009991	response to extracellular stimulus
GO:0009992	cellular water homeostasis
GO:0009994	oocyte differentiation
GO:0009996	negative regulation of cell fate specification
GO:0009997	negative regulation of cardioblast cell fate specification
GO:0010001	glial cell differentiation
GO:0010002	cardioblast differentiation
GO:0010008	endosome membrane
GO:0010025	wax biosynthetic process
GO:0010032	meiotic chromosome condensation
GO:0010033	response to organic substance
GO:0010035	response to inorganic substance
GO:0010038	response to metal ion
GO:0010039	response to iron ion
GO:0010040	response to iron(II) ion
GO:0010041	response to iron(III) ion
GO:0010042	response to manganese ion
GO:0010043	response to zinc ion
GO:0010044	response to aluminum ion
GO:0010046	response to mycotoxin
GO:0010070	zygote asymmetric cell division
GO:0010092	specification of organ identity
GO:0010106	cellular response to iron ion starvation
GO:0010107	potassium ion import
GO:0010133	proline catabolic process to glutamate
GO:0010138	pyrimidine ribonucleotide salvage
GO:0010155	regulation of proton transport
GO:0010157	response to chlorate
GO:0010165	response to X-ray
GO:0010166	wax metabolic process
GO:0010171	body morphogenesis
GO:0010172	embryonic body morphogenesis
GO:0010181	FMN binding
GO:0010189	vitamin E biosynthetic process
GO:0010212	response to ionizing radiation
GO:0010216	maintenance of DNA methylation
GO:0010224	response to UV-B
GO:0010225	response to UV-C
GO:0010226	response to lithium ion
GO:0010243	response to organonitrogen compound
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient
GO:0010256	endomembrane system organization
GO:0010257	NADH dehydrogenase complex assembly
GO:0010259	multicellular organismal aging
GO:0010265	SCF complex assembly
GO:0010266	response to vitamin B1
GO:0010269	response to selenium ion
GO:0010273	detoxification of copper ion
GO:0010286	heat acclimation
GO:0010288	response to lead ion
GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity
GO:0010310	regulation of hydrogen peroxide metabolic process
GO:0010314	phosphatidylinositol-5-phosphate binding
GO:0010324	membrane invagination
GO:0010332	response to gamma radiation
GO:0010340	carboxyl-O-methyltransferase activity
GO:0010369	chromocenter
GO:0010370	perinucleolar chromocenter
GO:0010387	COP9 signalosome assembly
GO:0010388	cullin deneddylation
GO:0010389	regulation of G2/M transition of mitotic cell cycle
GO:0010390	histone monoubiquitination
GO:0010412	mannan metabolic process
GO:0010420	polyprenyldihydroxybenzoate methyltransferase activity
GO:0010421	hydrogen peroxide-mediated programmed cell death
GO:0010424	DNA methylation on cytosine within a CG sequence
GO:0010430	fatty acid omega-oxidation
GO:0010447	response to acidity
GO:0010452	histone H3-K36 methylation
GO:0010453	regulation of cell fate commitment
GO:0010454	negative regulation of cell fate commitment
GO:0010455	positive regulation of cell fate commitment
GO:0010457	centriole-centriole cohesion
GO:0010458	exit from mitosis
GO:0010459	negative regulation of heart rate
GO:0010460	positive regulation of heart rate
GO:0010463	mesenchymal cell proliferation
GO:0010464	regulation of mesenchymal cell proliferation
GO:0010465	nerve growth factor receptor activity
GO:0010466	negative regulation of peptidase activity
GO:0010467	gene expression
GO:0010468	regulation of gene expression
GO:0010469	regulation of receptor activity
GO:0010470	regulation of gastrulation
GO:0010477	response to sulfur dioxide
GO:0010481	epidermal cell division
GO:0010484	H3 histone acetyltransferase activity
GO:0010485	H4 histone acetyltransferase activity
GO:0010494	cytoplasmic stress granule
GO:0010498	proteasomal protein catabolic process
GO:0010499	proteasomal ubiquitin-independent protein catabolic process
GO:0010501	RNA secondary structure unwinding
GO:0010506	regulation of autophagy
GO:0010507	negative regulation of autophagy
GO:0010508	positive regulation of autophagy
GO:0010509	polyamine homeostasis
GO:0010510	regulation of acetyl-CoA biosynthetic process from pyruvate
GO:0010511	regulation of phosphatidylinositol biosynthetic process
GO:0010512	negative regulation of phosphatidylinositol biosynthetic process
GO:0010517	regulation of phospholipase activity
GO:0010518	positive regulation of phospholipase activity
GO:0010519	negative regulation of phospholipase activity
GO:0010520	regulation of reciprocal meiotic recombination
GO:0010521	telomerase inhibitor activity
GO:0010522	regulation of calcium ion transport into cytosol
GO:0010523	negative regulation of calcium ion transport into cytosol
GO:0010524	positive regulation of calcium ion transport into cytosol
GO:0010528	regulation of transposition
GO:0010529	negative regulation of transposition
GO:0010533	regulation of activation of Janus kinase activity
GO:0010534	regulation of activation of JAK2 kinase activity
GO:0010535	positive regulation of activation of JAK2 kinase activity
GO:0010536	positive regulation of activation of Janus kinase activity
GO:0010543	regulation of platelet activation
GO:0010544	negative regulation of platelet activation
GO:0010556	regulation of macromolecule biosynthetic process
GO:0010557	positive regulation of macromolecule biosynthetic process
GO:0010558	negative regulation of macromolecule biosynthetic process
GO:0010559	regulation of glycoprotein biosynthetic process
GO:0010560	positive regulation of glycoprotein biosynthetic process
GO:0010561	negative regulation of glycoprotein biosynthetic process
GO:0010562	positive regulation of phosphorus metabolic process
GO:0010563	negative regulation of phosphorus metabolic process
GO:0010564	regulation of cell cycle process
GO:0010565	regulation of cellular ketone metabolic process
GO:0010566	regulation of ketone biosynthetic process
GO:0010569	regulation of double-strand break repair via homologous recombination
GO:0010571	positive regulation of nuclear cell cycle DNA replication
GO:0010572	positive regulation of platelet activation
GO:0010573	vascular endothelial growth factor production
GO:0010574	regulation of vascular endothelial growth factor production
GO:0010575	positive regulation vascular endothelial growth factor production
GO:0010576	metalloenzyme regulator activity
GO:0010586	miRNA metabolic process
GO:0010587	miRNA catabolic process
GO:0010591	regulation of lamellipodium assembly
GO:0010592	positive regulation of lamellipodium assembly
GO:0010594	regulation of endothelial cell migration
GO:0010595	positive regulation of endothelial cell migration
GO:0010596	negative regulation of endothelial cell migration
GO:0010603	regulation of cytoplasmic mRNA processing body assembly
GO:0010604	positive regulation of macromolecule metabolic process
GO:0010605	negative regulation of macromolecule metabolic process
GO:0010606	positive regulation of cytoplasmic mRNA processing body assembly
GO:0010607	negative regulation of cytoplasmic mRNA processing body assembly
GO:0010608	posttranscriptional regulation of gene expression
GO:0010611	regulation of cardiac muscle hypertrophy
GO:0010612	regulation of cardiac muscle adaptation
GO:0010613	positive regulation of cardiac muscle hypertrophy
GO:0010614	negative regulation of cardiac muscle hypertrophy
GO:0010616	negative regulation of cardiac muscle adaptation
GO:0010623	developmental programmed cell death
GO:0010624	regulation of Schwann cell proliferation
GO:0010626	negative regulation of Schwann cell proliferation
GO:0010627	regulation of intracellular protein kinase cascade
GO:0010628	positive regulation of gene expression
GO:0010629	negative regulation of gene expression
GO:0010631	epithelial cell migration
GO:0010632	regulation of epithelial cell migration
GO:0010633	negative regulation of epithelial cell migration
GO:0010634	positive regulation of epithelial cell migration
GO:0010635	regulation of mitochondrial fusion
GO:0010637	negative regulation of mitochondrial fusion
GO:0010638	positive regulation of organelle organization
GO:0010639	negative regulation of organelle organization
GO:0010640	regulation of platelet-derived growth factor receptor signaling pathway
GO:0010642	negative regulation of platelet-derived growth factor receptor signaling pathway
GO:0010643	cell communication by chemical coupling
GO:0010644	cell communication by electrical coupling
GO:0010646	regulation of cell communication
GO:0010647	positive regulation of cell communication
GO:0010648	negative regulation of cell communication
GO:0010649	regulation of cell communication by electrical coupling
GO:0010656	negative regulation of muscle cell apoptotic process
GO:0010657	muscle cell apoptotic process
GO:0010658	striated muscle cell apoptotic process
GO:0010659	cardiac muscle cell apoptotic process
GO:0010660	regulation of muscle cell apoptotic process
GO:0010661	positive regulation of muscle cell apoptotic process
GO:0010662	regulation of striated muscle cell apoptotic process
GO:0010663	positive regulation of striated muscle cell apoptotic process
GO:0010664	negative regulation of striated muscle cell apoptotic process
GO:0010665	regulation of cardiac muscle cell apoptotic process
GO:0010666	positive regulation of cardiac muscle cell apoptotic process
GO:0010667	negative regulation of cardiac muscle cell apoptotic process
GO:0010668	ectodermal cell differentiation
GO:0010669	epithelial structure maintenance
GO:0010675	regulation of cellular carbohydrate metabolic process
GO:0010676	positive regulation of cellular carbohydrate metabolic process
GO:0010677	negative regulation of cellular carbohydrate metabolic process
GO:0010692	regulation of alkaline phosphatase activity
GO:0010693	negative regulation of alkaline phosphatase activity
GO:0010694	positive regulation of alkaline phosphatase activity
GO:0010700	negative regulation of norepinephrine secretion
GO:0010701	positive regulation of norepinephrine secretion
GO:0010702	regulation of histolysis
GO:0010703	negative regulation of histolysis
GO:0010710	regulation of collagen catabolic process
GO:0010711	negative regulation of collagen catabolic process
GO:0010712	regulation of collagen metabolic process
GO:0010713	negative regulation of collagen metabolic process
GO:0010714	positive regulation of collagen metabolic process
GO:0010715	regulation of extracellular matrix disassembly
GO:0010716	negative regulation of extracellular matrix disassembly
GO:0010717	regulation of epithelial to mesenchymal transition
GO:0010718	positive regulation of epithelial to mesenchymal transition
GO:0010719	negative regulation of epithelial to mesenchymal transition
GO:0010720	positive regulation of cell development
GO:0010721	negative regulation of cell development
GO:0010722	regulation of ferrochelatase activity
GO:0010724	regulation of definitive erythrocyte differentiation
GO:0010725	regulation of primitive erythrocyte differentiation
GO:0010727	negative regulation of hydrogen peroxide metabolic process
GO:0010731	protein glutathionylation
GO:0010732	regulation of protein glutathionylation
GO:0010734	negative regulation of protein glutathionylation
GO:0010735	positive regulation of transcription via serum response element binding
GO:0010736	serum response element binding
GO:0010737	protein kinase A signaling cascade
GO:0010738	regulation of protein kinase A signaling cascade
GO:0010739	positive regulation of protein kinase A signaling cascade
GO:0010740	positive regulation of intracellular protein kinase cascade
GO:0010741	negative regulation of intracellular protein kinase cascade
GO:0010742	macrophage derived foam cell differentiation
GO:0010743	regulation of macrophage derived foam cell differentiation
GO:0010744	positive regulation of macrophage derived foam cell differentiation
GO:0010745	negative regulation of macrophage derived foam cell differentiation
GO:0010746	regulation of plasma membrane long-chain fatty acid transport
GO:0010748	negative regulation of plasma membrane long-chain fatty acid transport
GO:0010752	regulation of cGMP-mediated signaling
GO:0010755	regulation of plasminogen activation
GO:0010756	positive regulation of plasminogen activation
GO:0010758	regulation of macrophage chemotaxis
GO:0010759	positive regulation of macrophage chemotaxis
GO:0010760	negative regulation of macrophage chemotaxis
GO:0010761	fibroblast migration
GO:0010762	regulation of fibroblast migration
GO:0010763	positive regulation of fibroblast migration
GO:0010764	negative regulation of fibroblast migration
GO:0010765	positive regulation of sodium ion transport
GO:0010766	negative regulation of sodium ion transport
GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage
GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage
GO:0010769	regulation of cell morphogenesis involved in differentiation
GO:0010770	positive regulation of cell morphogenesis involved in differentiation
GO:0010771	negative regulation of cell morphogenesis involved in differentiation
GO:0010792	DNA double-strand break processing involved in repair via single-strand annealing
GO:0010793	regulation of mRNA export from nucleus
GO:0010799	regulation of peptidyl-threonine phosphorylation
GO:0010800	positive regulation of peptidyl-threonine phosphorylation
GO:0010801	negative regulation of peptidyl-threonine phosphorylation
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway
GO:0010804	negative regulation of tumor necrosis factor-mediated signaling pathway
GO:0010807	regulation of synaptic vesicle priming
GO:0010810	regulation of cell-substrate adhesion
GO:0010811	positive regulation of cell-substrate adhesion
GO:0010812	negative regulation of cell-substrate adhesion
GO:0010813	neuropeptide catabolic process
GO:0010814	substance P catabolic process
GO:0010815	bradykinin catabolic process
GO:0010816	calcitonin catabolic process
GO:0010817	regulation of hormone levels
GO:0010818	T cell chemotaxis
GO:0010819	regulation of T cell chemotaxis
GO:0010820	positive regulation of T cell chemotaxis
GO:0010821	regulation of mitochondrion organization
GO:0010822	positive regulation of mitochondrion organization
GO:0010823	negative regulation of mitochondrion organization
GO:0010824	regulation of centrosome duplication
GO:0010825	positive regulation of centrosome duplication
GO:0010826	negative regulation of centrosome duplication
GO:0010827	regulation of glucose transport
GO:0010828	positive regulation of glucose transport
GO:0010829	negative regulation of glucose transport
GO:0010830	regulation of myotube differentiation
GO:0010831	positive regulation of myotube differentiation
GO:0010832	negative regulation of myotube differentiation
GO:0010833	telomere maintenance via telomere lengthening
GO:0010834	telomere maintenance via telomere shortening
GO:0010835	regulation of protein ADP-ribosylation
GO:0010836	negative regulation of protein ADP-ribosylation
GO:0010837	regulation of keratinocyte proliferation
GO:0010839	negative regulation of keratinocyte proliferation
GO:0010842	retina layer formation
GO:0010845	positive regulation of reciprocal meiotic recombination
GO:0010847	regulation of chromatin assembly
GO:0010849	regulation of proton-transporting ATPase activity, rotational mechanism
GO:0010857	calcium-dependent protein kinase activity
GO:0010861	thyroid hormone receptor activator activity
GO:0010862	positive regulation of pathway-restricted SMAD protein phosphorylation
GO:0010863	positive regulation of phospholipase C activity
GO:0010866	regulation of triglyceride biosynthetic process
GO:0010867	positive regulation of triglyceride biosynthetic process
GO:0010868	negative regulation of triglyceride biosynthetic process
GO:0010869	regulation of receptor biosynthetic process
GO:0010870	positive regulation of receptor biosynthetic process
GO:0010871	negative regulation of receptor biosynthetic process
GO:0010872	regulation of cholesterol esterification
GO:0010874	regulation of cholesterol efflux
GO:0010875	positive regulation of cholesterol efflux
GO:0010876	lipid localization
GO:0010878	cholesterol storage
GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling
GO:0010883	regulation of lipid storage
GO:0010884	positive regulation of lipid storage
GO:0010885	regulation of cholesterol storage
GO:0010886	positive regulation of cholesterol storage
GO:0010887	negative regulation of cholesterol storage
GO:0010888	negative regulation of lipid storage
GO:0010889	regulation of sequestering of triglyceride
GO:0010890	positive regulation of sequestering of triglyceride
GO:0010891	negative regulation of sequestering of triglyceride
GO:0010893	positive regulation of steroid biosynthetic process
GO:0010894	negative regulation of steroid biosynthetic process
GO:0010896	regulation of triglyceride catabolic process
GO:0010897	negative regulation of triglyceride catabolic process
GO:0010898	positive regulation of triglyceride catabolic process
GO:0010899	regulation of phosphatidylcholine catabolic process
GO:0010904	regulation of UDP-glucose catabolic process
GO:0010905	negative regulation of UDP-glucose catabolic process
GO:0010906	regulation of glucose metabolic process
GO:0010907	positive regulation of glucose metabolic process
GO:0010908	regulation of heparan sulfate proteoglycan biosynthetic process
GO:0010909	positive regulation of heparan sulfate proteoglycan biosynthetic process
GO:0010911	regulation of isomerase activity
GO:0010912	positive regulation of isomerase activity
GO:0010915	regulation of very-low-density lipoprotein particle clearance
GO:0010916	negative regulation of very-low-density lipoprotein particle clearance
GO:0010917	negative regulation of mitochondrial membrane potential
GO:0010918	positive regulation of mitochondrial membrane potential
GO:0010919	regulation of inositol phosphate biosynthetic process
GO:0010920	negative regulation of inositol phosphate biosynthetic process
GO:0010921	regulation of phosphatase activity
GO:0010922	positive regulation of phosphatase activity
GO:0010923	negative regulation of phosphatase activity
GO:0010924	regulation of inositol-polyphosphate 5-phosphatase activity
GO:0010925	positive regulation of inositol-polyphosphate 5-phosphatase activity
GO:0010927	cellular component assembly involved in morphogenesis
GO:0010931	macrophage tolerance induction
GO:0010932	regulation of macrophage tolerance induction
GO:0010933	positive regulation of macrophage tolerance induction
GO:0010934	macrophage cytokine production
GO:0010935	regulation of macrophage cytokine production
GO:0010936	negative regulation of macrophage cytokine production
GO:0010939	regulation of necrotic cell death
GO:0010940	positive regulation of necrotic cell death
GO:0010941	regulation of cell death
GO:0010942	positive regulation of cell death
GO:0010944	negative regulation of transcription by competitive promoter binding
GO:0010948	negative regulation of cell cycle process
GO:0010950	positive regulation of endopeptidase activity
GO:0010951	negative regulation of endopeptidase activity
GO:0010952	positive regulation of peptidase activity
GO:0010954	positive regulation of protein processing
GO:0010955	negative regulation of protein processing
GO:0010956	negative regulation of calcidiol 1-monooxygenase activity
GO:0010957	negative regulation of vitamin D biosynthetic process
GO:0010959	regulation of metal ion transport
GO:0010962	regulation of glucan biosynthetic process
GO:0010965	regulation of mitotic sister chromatid separation
GO:0010967	regulation of polyamine biosynthetic process
GO:0010970	microtubule-based transport
GO:0010971	positive regulation of G2/M transition of mitotic cell cycle
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle
GO:0010975	regulation of neuron projection development
GO:0010976	positive regulation of neuron projection development
GO:0010977	negative regulation of neuron projection development
GO:0010979	regulation of vitamin D 24-hydroxylase activity
GO:0010980	positive regulation of vitamin D 24-hydroxylase activity
GO:0010982	regulation of high-density lipoprotein particle clearance
GO:0010983	positive regulation of high-density lipoprotein particle clearance
GO:0010984	regulation of lipoprotein particle clearance
GO:0010985	negative regulation of lipoprotein particle clearance
GO:0010986	positive regulation of lipoprotein particle clearance
GO:0010988	regulation of low-density lipoprotein particle clearance
GO:0010989	negative regulation of low-density lipoprotein particle clearance
GO:0010990	regulation of SMAD protein complex assembly
GO:0010991	negative regulation of SMAD protein complex assembly
GO:0010992	ubiquitin homeostasis
GO:0010993	regulation of ubiquitin homeostasis
GO:0010994	free ubiquitin chain polymerization
GO:0010996	response to auditory stimulus
GO:0010997	anaphase-promoting complex binding
GO:0010998	regulation of translational initiation by eIF2 alpha phosphorylation
GO:0010999	regulation of eIF2 alpha phosphorylation by heme
GO:0012501	programmed cell death
GO:0012505	endomembrane system
GO:0012506	vesicle membrane
GO:0012507	ER to Golgi transport vesicle membrane
GO:0012510	trans-Golgi network transport vesicle membrane
GO:0014002	astrocyte development
GO:0014003	oligodendrocyte development
GO:0014004	microglia differentiation
GO:0014005	microglia development
GO:0014009	glial cell proliferation
GO:0014010	Schwann cell proliferation
GO:0014012	peripheral nervous system axon regeneration
GO:0014013	regulation of gliogenesis
GO:0014014	negative regulation of gliogenesis
GO:0014015	positive regulation of gliogenesis
GO:0014020	primary neural tube formation
GO:0014022	neural plate elongation
GO:0014029	neural crest formation
GO:0014031	mesenchymal cell development
GO:0014032	neural crest cell development
GO:0014033	neural crest cell differentiation
GO:0014037	Schwann cell differentiation
GO:0014038	regulation of Schwann cell differentiation
GO:0014040	positive regulation of Schwann cell differentiation
GO:0014041	regulation of neuron maturation
GO:0014042	positive regulation of neuron maturation
GO:0014043	negative regulation of neuron maturation
GO:0014044	Schwann cell development
GO:0014045	establishment of endothelial blood-brain barrier
GO:0014046	dopamine secretion
GO:0014047	glutamate secretion
GO:0014048	regulation of glutamate secretion
GO:0014049	positive regulation of glutamate secretion
GO:0014051	gamma-aminobutyric acid secretion
GO:0014052	regulation of gamma-aminobutyric acid secretion
GO:0014054	positive regulation of gamma-aminobutyric acid secretion
GO:0014059	regulation of dopamine secretion
GO:0014061	regulation of norepinephrine secretion
GO:0014062	regulation of serotonin secretion
GO:0014063	negative regulation of serotonin secretion
GO:0014065	phosphatidylinositol 3-kinase cascade
GO:0014066	regulation of phosphatidylinositol 3-kinase cascade
GO:0014067	negative regulation of phosphatidylinositol 3-kinase cascade
GO:0014068	positive regulation of phosphatidylinositol 3-kinase cascade
GO:0014069	postsynaptic density
GO:0014070	response to organic cyclic compound
GO:0014072	response to isoquinoline alkaloid
GO:0014074	response to purine-containing compound
GO:0014075	response to amine stimulus
GO:0014701	junctional sarcoplasmic reticulum membrane
GO:0014704	intercalated disc
GO:0014706	striated muscle tissue development
GO:0014707	branchiomeric skeletal muscle development
GO:0014722	regulation of skeletal muscle contraction by calcium ion signaling
GO:0014731	spectrin-associated cytoskeleton
GO:0014732	skeletal muscle atrophy
GO:0014733	regulation of skeletal muscle adaptation
GO:0014741	negative regulation of muscle hypertrophy
GO:0014742	positive regulation of muscle hypertrophy
GO:0014743	regulation of muscle hypertrophy
GO:0014745	negative regulation of muscle adaptation
GO:0014802	terminal cisterna
GO:0014805	smooth muscle adaptation
GO:0014806	smooth muscle hyperplasia
GO:0014807	regulation of somitogenesis
GO:0014808	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
GO:0014809	regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion
GO:0014810	positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion
GO:0014812	muscle cell migration
GO:0014819	regulation of skeletal muscle contraction
GO:0014820	tonic smooth muscle contraction
GO:0014821	phasic smooth muscle contraction
GO:0014823	response to activity
GO:0014824	artery smooth muscle contraction
GO:0014826	vein smooth muscle contraction
GO:0014829	vascular smooth muscle contraction
GO:0014831	gastro-intestinal system smooth muscle contraction
GO:0014832	urinary bladder smooth muscle contraction
GO:0014834	satellite cell maintenance involved in skeletal muscle regeneration
GO:0014841	satellite cell proliferation
GO:0014842	regulation of satellite cell proliferation
GO:0014846	esophagus smooth muscle contraction
